,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD)
43,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Chennai, Tamil Nadu",+15%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
44,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Mumbai, Maharashtra",+2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
45,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"New Delhi, Delhi",+2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
46,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Delhi, Delhi",+1%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
47,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Pune, Maharashtra",-2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
48,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Kolkata, West Bengal",-8%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
49,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Bangalore, Karnataka",+24%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
50,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Chennai, Tamil Nadu",+10%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
51,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Mumbai, Maharashtra",+8%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
52,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Pune, Maharashtra",+2%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
