,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert
723,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Atlanta, Georgia",+6%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
724,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Minneapolis, Minnesota",+2%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
725,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Columbus, Ohio",+1%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
726,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Houston, Texas",-0%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
727,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"San Francisco, California",+60%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
728,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"New York, New York",+38%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
729,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"Los Angeles, California",+30%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
730,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"Seattle, Washington",+15%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
731,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"Chicago, Illinois",+12%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
732,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"Denver, Colorado",+3%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
