,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD),Cost of living pm
57,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Chennai, Tamil Nadu",13.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,24516.72
58,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Hyderabad, Andhra Pradesh",12.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,24588.3
59,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"New Delhi, Delhi",9.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,27215.8
60,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Mumbai, Maharashtra",4.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,28405.58
61,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Pune, Maharashtra",-6.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,24736.68
62,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Ahmedabad, Gujarat",-14.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,24995.23
63,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Gurgaon, Haryana",11.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,31134.26
64,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Mumbai, Maharashtra",9.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,28405.58
65,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"New Delhi, Delhi",9.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,27215.8
66,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Chennai, Tamil Nadu",1.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,24516.72
67,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Bangalore, Karnataka",0.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,26220.74
68,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Hyderabad, Andhra Pradesh",-4.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,24588.3
69,INDIA,IN,Financial Analyst,₹,410835.0,219000.0,999000.0,"Pune, Maharashtra",-14.0,70.6,29.3,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.69,13986.0,3066.0,24736.68
70,INDIA,IN,Design Architect,₹,361159.0,159000.0,1000000.0,"Bangalore, Karnataka",36.0,51.3,48.5,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0,26220.74
71,INDIA,IN,Design Architect,₹,361159.0,159000.0,1000000.0,"Pune, Maharashtra",15.0,51.3,48.5,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0,24736.68
72,INDIA,IN,Design Architect,₹,361159.0,159000.0,1000000.0,"Delhi, Delhi",15.0,51.3,48.5,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0,27215.8
73,INDIA,IN,Design Architect,₹,361159.0,159000.0,1000000.0,"New Delhi, Delhi",10.0,51.3,48.5,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0,27215.8
